Ensemble CGE_2A DFC_2A HIP_2A LGE_2A M1C.S1C_2A MFC_2A OFC_2A PCx_2A MGE_2A Ocx_2A HIP_2B HIP_3A S1C_3A V1C_4 STC_3B IPC_3A CBC_4 M1C_3A STR_3A DFC_4
ENSG00000101337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000114650 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2.77254593495935
ENSG00000113194 0 0 0 0 0 0 0 0 0 1.32940327235772 0 1.13531516937669 0 0 0 0 0 0 0 0
ENSG00000090020 -1.95991628726288 -21.0335710433604 -1.94156887872629 -3.9981276490515 -6.3486526897019 -6.35895534214093 -20.8461959823848 -6.58305558604337 0 -1.99873357384824 -5.97659066734417 -10.663663096206 -3.6052135094851 -5.43705953421409 -3.29272045392954 -10.4913480555556 -3.63016719512195 -5.76922607384824 -3.6252120596206 -3.276392049458
ENSG00000137486 -554.658121175475 -154.682482439025 -287.032682320461 -211.798379535908 -155.209256666667 -145.175136112805 -56.4111217022358 -61.9382624508808 -190.525748397697 -224.969645713076 -110.623866382114 -60.0210146527777 4.59157740514906 4.47964429878049 17.8751341819106 2.76735087059621 2.72399906842819 2.77732491531166 -0.692259410569097 19.5527684146341
ENSG00000161547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.7103468597561 0 0 0
ENSG00000168679 -19.6822806876694 -14.0387141124661 -12.8088265514905 -18.2043042140921 -18.9363060941734 -18.801990901084 0 -13.9363242344173 -17.5880817039295 -18.2381458299458 -15.8273315006775 -12.9040011449864 -19.1154673069106 -16.9546433655149 -16.9371457791328 -18.6928798407859 429.539451164465 -18.6414047730352 -17.649528248645 -19.1649578472222
ENSG00000162896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000185559 0 0 0 0 0 110.839079146341 133.776318827913 0 3.12768722391599 72.3060166463414 -3.14556700372628 -3.30808549288617 0 -3.11415450711382 -1.50922994918699 0 -1.55089355182927 0 0 -3.04645433434959
ENSG00000123360 -149.910471773374 -297.906818328252 -188.884112130759 -145.707434795054 -318.861787291667 -305.796919517277 -270.411269209011 -291.265266498984 -74.433676446477 -264.232388751694 -103.60173303523 -138.431016244919 -177.984611073848 -146.346406556572 -179.49291049458 -170.446507740515 221.07819859502 -199.565394574864 -26.5508745867208 -203.507381597222
ENSG00000115561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5.44273210535231 0 0 0 0 0
ENSG00000068120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000111653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000115828 0 0 0 0 -3.02300269647697 0 0 0 0 0 0 0 0 -8.02280571815718 -7.56690128218158 0 2.645620486958 0 31.5839598805895 0
ENSG00000171408 -244.63620383977 -281.574194358062 -280.622942406843 -244.745748351965 -282.044095862128 -299.959530008469 -212.342788443428 -242.374091431233 -102.89372216294 -280.745239439363 -318.930035726626 -297.97203462229 -154.281771766599 -347.083942223916 -293.589505353997 -187.065165984079 -373.830264906843 -132.177974336043 -118.532042411924 -347.038264500339
ENSG00000114395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000064726 -1.65165955792683 0 -8.76827162093497 -1.67884505589431 -1.5658999847561 0 0 0 0 -1.62472517784553 0 0 0 0 0 0 0 0 0 0
ENSG00000183826 0 0 -1.66777891260163 0 0 0 0 0 0 0 -39.0106113058943 0 0 0 0 0 0 0 0 0
ENSG00000094975 124.309192652439 57.5363600525067 54.3074879590107 83.3972016344849 30.3492723001355 42.0691497002032 57.0876599407181 97.3313684993223 56.8660036399051 42.1260204319105 100.97795925813 97.0019440142277 46.7443557232385 48.9326893614498 24.9051407113821 45.259963125 2.81523256436314 51.7434573661924 79.5124732723577 1.23224249661247
ENSG00000149534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000198846 33.1327002235772 9.49957857384823 -80.9586055945123 34.4342358180894 16.8141713584011 -22.4123766683605 24.9868038414634 -2.31497832994581 34.514846504065 -111.349600762195 -88.0442271205962 -26.7281197916666 260.936534901762 19.3328612906504 -9.79382620426834 136.661957401762 -16.1556306792005 273.206200721545 21.856624251355 59.1504685196477
ENSG00000126746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000146963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000156531 269.079957466971 268.223325393801 278.532768117378 235.4632115625 210.738205177845 271.967235088923 266.29150699441 211.15903363313 224.624929316565 246.493926460874 264.366335719004 211.617532731199 149.225920848577 33.2053764295392 102.002985076219 152.495953965108 69.7033264752709 156.322187650745 237.956204662094 74.3744190684281
ENSG00000142748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000100796 8.08749397018968 0 0 0 26.4892182808265 9.53634277439022 0 6.47724687669375 17.9432057825203 2.59254542682926 3.35642099254743 0 1.05523788617886 0 5.36924809620596 0 0 5.61433115853658 0 0
ENSG00000074276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000136634 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.24756255081301 0 0 -1.30802699186992 0 0 -1.35111845020325
ENSG00000108788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000087258 0 -15.4058781334688 -117.007140582656 0 0 -26.8816595528456 -1.11478546747968 0 0 -3.71867918360435 0 0 1.23361158536586 1.19690162601626 1.19657286585366 1.26934586720868 1.36806978319783 1.28031849593496 0 1.28610741869919
ENSG00000087263 4.95296789972899 4.77201641598916 4.98269822493225 4.59720054200542 5.39122621273713 5.0524416598916 5.02169619241192 4.95906887533875 4.52296966802167 5.16477838753387 6.8277613473916 11.5686379683266 23.6966651956301 22.5210294266599 16.6567666573509 28.5073597281504 9.04484351710705 17.6655235272697 7.12453362381437 22.423313989668
ENSG00000165125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000166503 23.2946117039295 10.512887078252 6.6518575863821 49.0672301439702 10.4488297611789 10.3508876880081 19.5416080758808 10.3847907367886 49.1606346155149 3.09587950372628 46.5355848661925 12.9148510094851 48.1905928607725 46.998324105691 28.6492420088076 44.576339629065 16.0812409806911 51.529194898374 74.6841256216127 72.2470954725609
ENSG00000158195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000182795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000166928 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.689698555216803 -0.67205766090786 0 0 0 0 -3.62245698678862
ENSG00000115271 2.90274928861789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000126653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000131462 0 0 0 0 2.46428963922764 2.53359441565041 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000138231 78.2161095223578 74.7297436890243 0 88.20339532605 3.15761475948509 4.5320566954607 0 59.3459757503387 9.05475276930894 49.5594955504742 21.5355844054878 20.2083422493225 78.9486255699527 34.4229862872629 24.0571111686992 65.1376824457995 -1.32155296747968 98.1282535950204 68.9761119207317 0
ENSG00000147206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000101346 37.6950608316395 1.5770464803523 38.1571732909891 0 21.0726613719512 12.6636541023035 19.4620597493225 7.86762424288616 0 9.51660562669376 4.11129832317073 6.84557681741192 0 1.21711561653116 1.27776504742547 1.3272758096206 0 0 0 0
ENSG00000117560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.974423871951219
ENSG00000123307 27.325222798103 662.747740957825 648.380942726118 0 647.799948823679 719.077309463922 502.929767119749 548.902899599424 -45.1606795359079 698.016756804709 745.332358264736 604.534799941565 -56.856286846206 -45.5309372323848 -30.6598911822493 -47.7211656266938 -22.0548100101626 -49.4517101795393 -62.3590088448509 -55.8442915582656
ENSG00000165704 -74.3134110569107 -56.0653127676153 -47.6859358909215 -23.4308299678185 -42.9341171307589 -39.8927784925475 0 -56.3726101558266 -12.92170986958 -33.2011354031166 -32.6146988380759 -57.2168770833334 -29.7204497120596 0 -24.3893254827236 -37.7762185535231 -29.9328467852304 -38.5793285128727 -20.652645669038 -28.00072674458
ENSG00000107165 -4.12310504065041 -3.98733965447154 -3.9788187804878 -3.91790115853659 -4.12355418699187 -3.94394737804878 -4.26047099593496 -4.06223208333333 -3.9445168699187 -4.1534024695122 -4.16378322493225 -4.18091507452574 -4.0386208401084 -4.08598450203252 -4.0538225 -4.0661964498645 -4.02005272357723 -4.04804459349593 -2.954664200542 -4.04716829014228
ENSG00000084110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000177301 -47.1684706131437 -134.148900543699 -150.387624845867 -67.8832236246613 -100.922348545054 -135.163619903455 -151.281015679201 -91.1660561466803 -68.2381884823848 -129.855336478659 -135.418914666328 -135.514684314024 -85.4191950084688 -62.2450909502033 -109.881008938008 -85.5038551710705 -16.9212787432249 -72.3516296781843 -56.7647369918699 -62.0988397002033
ENSG00000131477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000114735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000145692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000147679 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000114646 -29.3171818631437 -139.811614754404 -72.7944475304879 -26.3502551405827 -150.833303980352 -139.775708809282 -155.572535789295 -183.206001102642 -40.3513717056233 -129.011680936653 -18.2509428167344 -25.6171915785908 -149.629719254743 34.91320200542 -24.6378180928184 -158.576263685637 -61.5807152235772 -156.612165799458 1.82152326558266 17.2696646239837
ENSG00000135577 -12.7734337127371 -21.5895325592818 -29.2149279352981 -11.8990270054201 -26.0524480470867 -25.3884543072493 -15.5593059688347 -25.8200225186315 -11.55528399729 -29.2934704048103 -33.876492245935 -34.4305062025745 -19.9786961161924 -2.19085828252032 -7.2453939346206 -26.6403470511518 -29.6402358773713 -19.7677838871951 365.445383855014 -15.6204039820461
ENSG00000101605 -1.55465073848239 -1.51096085027101 -1.53437525067751 -1.59251951897019 -1.69049307588076 0 0 -1.50394595189702 -1.64355694783198 -1.72546090108401 -4.684671875 -4.33858720020326 -2.80946373306233 -4.4916571468496 -5.78450765752033 -4.36281917174797 0 -4.26456573678862 -1.49658725609756 -4.44132784044716
ENSG00000169594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000146648 0 -19.351504876355 0 0 -11.6274613042005 -7.52379300813009 0 -3.64558436653117 0 -3.73062286246613 -3.41346838075881 0 -35.7220125457317 0 -3.28783288279133 -35.0989910687669 177.680894616362 -35.6767313126694 0 -9.50585263042006
ENSG00000186009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000087250 -331.850726456639 -544.720559556233 -519.095415460705 -501.889821934282 -555.909045918022 -541.527586405827 -536.4315912229 -576.696141690379 -392.879249413957 -571.181700958672 -293.028932483062 -277.840084634146 -540.312189359756 -491.704187945461 -388.513396294038 -529.958569380081 -305.208066019648 -550.529502029133 -374.297174801829 -491.542073387534
ENSG00000126705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
