comp0_NID	IW_ID	Ensemble	HUGO

1	1	ENSG00000127720	C12orf26

2	2	ENSG00000109819	PPARGC1A

3	4	ENSG00000161057	PSMC2

4	6	ENSG00000051596	THOC3

5	8	ENSG00000189241	TSPYL1

6	9	ENSG00000182511	FES

7	10	ENSG00000100796	SMEK1

8	11	ENSG00000135541	AHI1

9	12	ENSG00000143376	SNX27

10	16	ENSG00000165240	ATP7A

11	17	ENSG00000180739	S1PR5

12	19	ENSG00000172020	GAP43

13	20	ENSG00000172172	MRPL13

14	21	ENSG00000100218	RTDR1

15	23	ENSG00000029639	TFB1M

16	24	ENSG00000132604	TERF2

17	25	ENSG00000139218	SFRS2IP

18	26	ENSG00000111218	PRMT8

19	28	ENSG00000142185	TRPM2

20	29	ENSG00000162676	GFI1

21	30	ENSG00000131724	IL13RA1

22	32	ENSG00000101194	SLC17A9

23	34	ENSG00000112812	PRSS16

24	35	ENSG00000005884	ITGA3

25	36	ENSG00000128595	CALU

26	37	ENSG00000136531	SCN2A

27	38	ENSG00000100211	CBY1

28	39	ENSG00000183617	MRPL54

29	40	ENSG00000175220	ARHGAP1

30	42	ENSG00000112981	NME5

31	45	ENSG00000168283	BMI1

32	48	ENSG00000178934	LGALS7B

33	49	ENSG00000034510	TMSB10

34	51	ENSG00000187608	ISG15

35	54	ENSG00000174684	B3GNT1

36	57	ENSG00000206283	ENSG00000206283

37	60	ENSG00000131652	THOC6

38	61	ENSG00000090539	CHRD

39	62	ENSG00000102805	CLN5

40	64	ENSG00000119314	ROD1

41	67	ENSG00000159259	CHAF1B

42	70	ENSG00000100568	VTI1B

43	72	ENSG00000108468	CBX1

44	75	ENSG00000169313	P2RY12

45	77	ENSG00000158109	TPRG1L

46	78	ENSG00000136044	APPL2

47	80	ENSG00000102057	KCND1

48	82	ENSG00000130349	C6orf203

49	83	ENSG00000113163	COL4A3BP

50	84	ENSG00000179776	CDH5

51	85	ENSG00000182333	LIPF

