Ensemble CD34 fAdrenal fHeart fKidney fLung fBrain IPS_19.7 IPS_19.11 IPS_6.9 fLung_Rt fLung_Lt fKidney_Rt mobCD34 fKidney_Lt fThymus fIntestine_Sm fIntestine_Lg CD3 CD8 CD4 CD14 CD19 fKidney_Rcortex fKidney_Rpelvis fMuscle_Leg fMuscle_Arm mobCD3
ENSG00000162571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000067606 -2.06966694199678 -4.75108509208359 -2.13088809506536 -2.52181938256075 -0.646549366556479 16.2893368794255 0 0 0 1.16582245828361 1.10578213122576 -2.15674637866436 0 -1.92323437392271 -2.59931823346769 19.0057693303503 3.36772534409932 -2.42039052580807 -2.24796261474735 0 -8.97168117735351 0 -1.01883021918317 -1.17879337487242 -3.11385529109252 -3.18361507600972 0
ENSG00000157933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000157916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000142611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000130762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000078900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000158109 -0.77504407095987 0 -1.89593304868965 -2.1944371858872 -1.93604646058617 -0.695934026734404 0 0 0 -1.85755459655178 -0.793810599406724 -0.745217474747943 0 -0.717380502301653 -0.948952542932089 9.24428937005892 4.08995623458767 0 0 0 -0.773935095849106 0 0 0 0 0 0
ENSG00000169598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000196581 -1.26659288316907 0 -1.25723246448972 0 -1.5944818986461 8.40312362067933 0 0 0 -1.54884234741593 -1.26762213307137 0 0 0 0 -1.46835189388714 0 0 0 0 0 0 0 0 0 0 0
ENSG00000069424 50.530283890441 -10.4662723229737 -15.5471473481855 -9.209815909017 -9.37810247560057 -5.65652512203983 -2.5902434326331 -2.40384692651092 -2.60222987812837 -10.048956268763 -9.27117606621912 -13.2335250532196 -7.8916286971788 -16.5776838366154 0 -8.10965962608067 -1.90711951093108 24.3736848708188 35.8968313478733 4.9012073944979 35.7002455480445 0 -13.7100647152199 -14.6207307711119 -8.68773489703571 -2.61449011291492 13.1246999187037
ENSG00000204859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000171735 -5.12078758665145 -2.64994293414871 -2.9011238789203 -3.05348329530859 -3.09109228659769 72.0951232794922 -2.85181948847504 -3.34777199538966 -2.77324254087566 -3.30585446258267 -3.11987168845422 -3.00177015588224 -3.22471859024382 -2.71031369513401 -6.05778672019963 1.33229948259332 -2.16976690862643 -3.21501588093745 -3.22214360123612 -2.63279007946346 -3.64942559334622 -3.21111160121843 -2.75514989694811 -2.82008173567989 0 0 -2.54235814576568
ENSG00000049245 -0.980959466291864 1.34632592683906 0.812118902028555 -1.31122375501676 1.15414293318807 -11.6888401500683 0 0 0 1.25156439464097 0.898895928148812 0 0 1.02701479859905 0 1.18367906938562 1.19350861998939 -1.20846164042635 0 0 5.1030258448753 0 1.21920859410845 0 0 0 0
ENSG00000116288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000131686 0 0 -0.849973260734273 0 -3.59678055695759 -2.05768948362193 0 0 0 0 0 0 0 -3.83981406053108 0 -3.84314804933226 0 5.06842116470551 4.39953233714563 0 0 0 0 0 0 0 4.71945190932598
ENSG00000171621 -0.940743274718479 0 -0.759338485564773 0 0 0 0 0 0 0 0 0 0 0 0 1.70008176028325 0 0 0 0 0 0 0 0 0 0 0
ENSG00000171608 17.7821187683657 -10.3710303040171 -11.5562761617654 -3.3142352544628 -13.8152539319841 -6.69077423579315 0 0 -1.99698528962773 -11.7199179431047 -8.89455367597813 -11.8974205022312 -2.14577864011841 -12.1671928922815 0 -8.93625126634497 -5.5937883708073 37.7890019458964 30.7935629184235 12.2969427016444 24.2742671308307 1.83959965933679 -9.41776013177712 -10.1669462580963 -14.6297014310147 -4.29643709502657 22.8348102599337
ENSG00000173614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000130939 0 0 0.743485079995779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.743485079995779 0 0 0 0 0 0 0 0
ENSG00000054523 -5.841359031187 16.0703976805751 2.48029773454308 -4.45313227583828 -0.385906979141882 67.1543076347073 -2.12028495183723 -2.10238913105491 -2.07838676897904 -3.99286106580499 -3.89664467385073 -1.30883589264094 -2.23454523701367 0.221323168512558 -10.9591595096267 -2.50005460712332 -2.61332229164986 -10.9593997709284 -5.89792175455404 -5.06272242373617 -2.43214905759481 -5.61757834575275 0.234780819278742 -2.28479981434728 -2.19374452625849 -2.08189939847091 -5.14400953022541
ENSG00000142657 3.56480818217128 3.47913824394561 -1.23311227557349 0 2.77560860373679 3.59341548040571 4.56709741547459 4.59438941637469 4.60802614679464 2.99272333817044 1.33606861899834 2.92592328483677 0 3.09354344708978 0 0 0 -23.3557586948623 -19.9173838260391 0 5.48217473169656 0 1.49333788677972 0 0 0 0
ENSG00000175279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000142655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000120948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000132879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116663 0 0 0 0 0 0 0 0 0 0 0 -1.36811893690648 0 0 0 0 0 0 0 0 1.36811893690648 0 0 0 0 0 0
ENSG00000177674 -1.61670785584425 0 -1.79787297761436 0 -1.55181449387645 -2.04370363964662 0 0 0 0 0 -1.60064859413991 0 0 0 -1.82882617296221 -1.9811431560447 0 0 0 12.4207168901285 0 0 0 0 0 0
ENSG00000083444 -5.3288651096028 0 9.47232152983601 0 7.79692166723913 -5.57258049956343 0 0 0 4.17006212484201 6.56003518237809 0 0 0 -2.94952914026076 0 0 -6.87250376754072 -1.22829468176312 0 0 0 0 0 0 0 -6.04756730556442
ENSG00000116688 -2.94281688804296 -0.978643428727274 26.8203796185445 -3.30411877065208 -4.8439530605308 -2.42729520896391 0 0 0 -3.21756095282384 -3.11374360760923 -3.08033182669522 23.8379251123839 -2.82031864287271 -3.07960121899535 -0.171967963319039 -0.990950736262123 -3.00416085613938 -2.57879116886656 -2.80654882761485 -0.0114363847254833 -1.18688447884393 -2.71825789491273 -2.98266456510066 -1.17861481520302 0 -3.21964343402726
ENSG00000120949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000028137 -4.07600274319237 -4.75390734342648 -4.13781356971431 -2.53294919404513 -4.05435382612974 -8.30522798609502 -3.21601144193588 -3.0032155263337 -3.29237939857473 -4.11524058122168 -4.21632742359073 -8.13242342017804 -2.72713623125336 -8.10141372660015 -2.29562511640377 -4.3007713117537 -4.56670413285571 1.8480945463654 18.4194210349951 5.70057233153308 69.0366631895516 -2.07006980606063 -4.6246464813896 -4.89470104588987 -2.90049280857587 -2.66516682413483 -2.0221711630898
ENSG00000048707 0 -2.26385217389862 2.54640156853221 -3.46303138099165 0 0 0 0 0 -2.60944134071264 -2.90975787603946 0 0 0 0 0 0 4.22287245947303 4.47680874363713 0 0 0 0 0 0 0 0
ENSG00000162493 -17.5954375275964 -7.63672678161628 13.041637546942 -3.59601661094798 5.88612426737673 4.47644057032787 29.2900627771352 32.5253922923029 32.396523370186 6.22942957559902 4.48886570568565 -6.38360661386571 0 -5.0994955148033 0 -11.9470189506196 -7.83146738569461 -12.8342130810132 -12.939278619245 -7.15441143203238 -9.79185856344252 -9.04761041257372 -5.27379275413523 -5.58426214259906 1.55837318360649 1.78571554798396 -8.96336844696081
ENSG00000189337 -1.94296734824317 0 0 0 0.92583372766709 1.01713362057608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000171729 -6.23565647305104 -1.272873524685 -3.02089696138938 0 -0.896988715930669 -3.14653351643428 0 0 0 0 0.936159659627247 0 0 0.987345480926654 -1.47994976257236 13.3898238706874 7.78272253371532 -3.18328655882363 -3.11031248575998 0 1.08935213318576 -1.83890567949603 0 0 0 0 0
ENSG00000142634 8.42158516885598 4.68740964432804 -8.07688584583626 0 -4.57044897514179 -5.08734647906871 -2.11703419792007 0 0 -4.01575556017606 -5.23439926930996 -9.12331313825235 -2.16004444901728 -7.47629455261296 -1.72663722410886 -3.33629918537322 -3.63965058067633 2.43923841277817 21.7883031351922 0 29.5266732362183 0 -5.76031465880981 -4.53878548106897 0 0 0
ENSG00000162438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000197312 0 0 0 0 0 -1.0888857386998 0 0 0 0 0 0 0 0 0 1.0888857386998 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162458 -0.839094626990105 0 0.839094626990105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000065526 0.614093090080308 -1.14943166446652 -1.47227354603452 0 0 2.00761212042073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000157191 0.00427450820401809 1.14276686966767 -4.02017368564832 -1.09169219683578 1.61269820556702 -13.7959434567186 -1.5434501504907 0 -1.49014297460981 1.08838460018391 -1.01859778692374 -0.894538254867278 0 0.844303103800577 2.47450705216624 -1.10624379641052 -1.18613761418089 12.2296695311056 1.17055920481129 1.59758394419219 2.33356442123777 0 0 0 0 0 1.64860847574929
ENSG00000159339 -1.42064994984367 -2.07155143739473 -1.94388773367568 0 -2.00158537942099 -2.11927238104331 0 0 0 -2.00621678808337 -1.87032163065727 -2.27506184469815 0 -2.16948389798777 -1.77353125693379 -2.11325801959584 -2.2595729041602 -1.5256660606538 0 0 32.0459262712194 0 -2.1031018057429 -2.14346990331542 -2.24929527801254 0 0
ENSG00000074964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
