Ensemble HUGO OMIM_ID
ENSG00000162571 TTLL10 NA
ENSG00000162572 SCNN1D NA
ENSG00000067606 PRKCZ NA
ENSG00000157933 SKI NA
ENSG00000157916 RER1 NA
ENSG00000142611 PRDM16 NA
ENSG00000130762 ARHGEF16 NA
ENSG00000078900 TP73 NA
ENSG00000158109 TPRG1L NA
ENSG00000169598 DFFB NA
ENSG00000196581 AJAP1 NA
ENSG00000069424 KCNAB2 NA
ENSG00000204859 ZBTB48 NA
ENSG00000171735 CAMTA1 614756
ENSG00000049245 VAMP3 NA
ENSG00000116288 PARK7 606324
ENSG00000116288 PARK7 168600
ENSG00000131686 CA6 NA
ENSG00000171621 SPSB1 NA
ENSG00000171608 PIK3CD NA
ENSG00000173614 NMNAT1 608553
ENSG00000130939 UBE4B NA
ENSG00000054523 KIF1B 256700
ENSG00000054523 KIF1B 171300
ENSG00000054523 KIF1B 118210
ENSG00000142657 PGD NA
ENSG00000175279 APITD1 NA
ENSG00000142655 PEX14 614887
ENSG00000120948 TARDBP 612069
ENSG00000132879 FBXO44 NA
ENSG00000116663 FBXO6 NA
ENSG00000177674 AGTRAP NA
ENSG00000083444 PLOD1 225400
ENSG00000116688 MFN2 609260
ENSG00000116688 MFN2 601152
ENSG00000120949 TNFRSF8 NA
ENSG00000028137 TNFRSF1B NA
ENSG00000048707 VPS13D NA
ENSG00000162493 PDPN NA
ENSG00000189337 KAZN NA
ENSG00000171729 TMEM51 NA
ENSG00000142634 EFHD2 NA
ENSG00000162438 CTRC NA
ENSG00000197312 DDI2 NA
ENSG00000162461 SLC25A34 NA
ENSG00000162458 FBLIM1 NA
ENSG00000065526 SPEN NA
ENSG00000157191 NECAP2 NA
ENSG00000159339 PADI4 180300
ENSG00000074964 ARHGEF10L NA
ENSG00000117154 IGSF21 NA
ENSG00000009709 PAX7 268220
ENSG00000053372 MRTO4 NA
ENSG00000040487 PQLC2 NA
ENSG00000164587 RPS14 NA
ENSG00000158748 HTR6 NA
ENSG00000127472 PLA2G5 228980
ENSG00000158786 PLA2G2F NA
ENSG00000162543 UBXN10 NA
ENSG00000158825 CDA NA
ENSG00000158828 PINK1 605909
ENSG00000158828 PINK1 168600
ENSG00000162551 ALPL 241510
ENSG00000162551 ALPL 241500
ENSG00000162551 ALPL 146300
ENSG00000070831 CDC42 NA
ENSG00000070886 EPHA8 NA
ENSG00000173372 C1QA 613652
ENSG00000159189 C1QC 613652
